"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1777","Проверка получения сообщений при различных способах входа","Surefire suite","Sun Aug 17 17:22:16 UTC 2025","passed","Sun Aug 17 17:22:17 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"","409","Негативный,проверка входа в систему по логину паролю","Surefire suite","Sun Aug 17 17:22:22 UTC 2025","passed","Sun Aug 17 17:22:22 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue"
"Проверка, что пользователь не может войти без пароля","405","Проверка входа в систему без пароля","Surefire suite","Sun Aug 17 17:22:20 UTC 2025","passed","Sun Aug 17 17:22:21 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithoutPassword"
"","647","Проверка входа в систему с именем и паролем","Surefire suite","Sun Aug 17 17:22:21 UTC 2025","passed","Sun Aug 17 17:22:21 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
"Проверка цени и названия товара","621","Проверка цены и имени товара","Surefire suite","Sun Aug 17 17:22:27 UTC 2025","passed","Sun Aug 17 17:22:28 UTC 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkProductYourCart"
"Проверка кнопки возврата на страницу покупок","631","Проверка возврата на страницу продуктов","Surefire suite","Sun Aug 17 17:22:29 UTC 2025","passed","Sun Aug 17 17:22:30 UTC 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkButtonContinueShopping"
"","417","Проверка получения сообщений при различных способах входа","Surefire suite","Sun Aug 17 17:22:19 UTC 2025","passed","Sun Aug 17 17:22:19 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"","8","test","Surefire suite","Sun Aug 17 17:22:06 UTC 2025","passed","Sun Aug 17 17:22:06 UTC 2025","tests.LogTest","Surefire test","tests.LogTest","test"
"Проверка отображения страницы без товара","516","Проверка отображения страницы корзины","Surefire suite","Sun Aug 17 17:22:28 UTC 2025","passed","Sun Aug 17 17:22:29 UTC 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkPageYourCart"
"","415","Проверка входа в систему без имени","Surefire suite","Sun Aug 17 17:22:23 UTC 2025","passed","Sun Aug 17 17:22:23 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithoutUserName"
"","664","Проверка локаторов","Surefire suite","Sun Aug 17 17:22:23 UTC 2025","passed","Sun Aug 17 17:22:24 UTC 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","checkLocators"
"Проверка иконки корзины","594","Проверка иконки корзины","Surefire suite","Sun Aug 17 17:22:25 UTC 2025","passed","Sun Aug 17 17:22:26 UTC 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkCartBadge"
"","419","Проверка получения сообщений при различных способах входа","Surefire suite","Sun Aug 17 17:22:18 UTC 2025","passed","Sun Aug 17 17:22:18 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка перехода на страницу проверки товаров в корзине","687","Проверка отображения страницы","Surefire suite","Sun Aug 17 17:22:26 UTC 2025","passed","Sun Aug 17 17:22:27 UTC 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkButtonCheckout"
