"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка иконки корзины","20647","Проверка иконки корзины","Surefire suite","Thu Jul 31 21:40:40 GMT 2025","failed","Thu Jul 31 21:41:01 GMT 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkCartBadge"
"","1","Проверка входа в систему без имени","Surefire suite","Thu Jul 31 21:43:13 GMT 2025","skipped","Thu Jul 31 21:43:13 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithoutUserName"
"","5005","Проверка входа в систему с именем и паролем","Surefire suite","Thu Jul 31 21:42:52 GMT 2025","broken","Thu Jul 31 21:42:57 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
"Проверка цени и названия товара","20681","Проверка цены и имени товара","Surefire suite","Thu Jul 31 21:41:22 GMT 2025","failed","Thu Jul 31 21:41:43 GMT 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkProductYourCart"
"","573","Проверка получения сообщений при различных способах входа","Surefire suite","Thu Jul 31 21:42:49 GMT 2025","passed","Thu Jul 31 21:42:49 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"","1","test","Surefire suite","Thu Jul 31 21:42:25 GMT 2025","passed","Thu Jul 31 21:42:25 GMT 2025","tests.LogTest","Surefire test","tests.LogTest","test"
"Проверка кнопки возврата на страницу покупок","20636","Проверка возврата на страницу продуктов","Surefire suite","Thu Jul 31 21:42:05 GMT 2025","failed","Thu Jul 31 21:42:25 GMT 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkButtonContinueShopping"
"","20695","Проверка локаторов","Surefire suite","Thu Jul 31 21:42:26 GMT 2025","broken","Thu Jul 31 21:42:46 GMT 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","checkLocators"
"","578","Проверка получения сообщений при различных способах входа","Surefire suite","Thu Jul 31 21:42:48 GMT 2025","passed","Thu Jul 31 21:42:48 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"","604","Проверка получения сообщений при различных способах входа","Surefire suite","Thu Jul 31 21:42:47 GMT 2025","passed","Thu Jul 31 21:42:47 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка, что пользователь не может войти без пароля","600","Проверка входа в систему без пароля","Surefire suite","Thu Jul 31 21:42:51 GMT 2025","passed","Thu Jul 31 21:42:51 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithoutPassword"
"Проверка отображения страницы без товара","20673","Проверка отображения страницы корзины","Surefire suite","Thu Jul 31 21:41:43 GMT 2025","failed","Thu Jul 31 21:42:04 GMT 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkPageYourCart"
"Проверка перехода на страницу проверки товаров в корзине","20633","Проверка отображения страницы","Surefire suite","Thu Jul 31 21:41:01 GMT 2025","failed","Thu Jul 31 21:41:22 GMT 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkButtonCheckout"
"","569","Негативный,проверка входа в систему по логину паролю","Surefire suite","Thu Jul 31 21:43:13 GMT 2025","passed","Thu Jul 31 21:43:13 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue"
